word,label
5%,PERCENT
Whole Foods,PRODUCT
second,ORDINAL
first,ORDINAL
Whole Foods,PRODUCT
Amazon,ORG
this quarter,DATE
Whole Foods,PRODUCT
Prime Now,PRODUCT
50,CARDINAL
9,CARDINAL
Prime Now,PRODUCT
Whole Foods,PRODUCT
two,CARDINAL
Prime Now,PRODUCT
Whole Foods,PRODUCT
Prime Now,PRODUCT
Amazon,ORG
Ross Sandler,PERSON
Barclays,ORG
Ross Sandler,PERSON
Barclays,ORG
two,CARDINAL
First,ORDINAL
tens of millions,CARDINAL
Echo,PRODUCT
second,ORDINAL
India,COUNTRY
Western Europe,LOC
Brian,PERSON
second,ORDINAL
the last few quarters,DATE
Europe,LOC
Japan,COUNTRY
about earlier,CARDINAL
America,COUNTRY
India,COUNTRY
Fifth,ORDINAL
Fifth,ORDINAL
Anniversary,DATE
India,COUNTRY
Indian,NORP
Echo,PRODUCT
Alexa,PRODUCT
France,COUNTRY
Echo,PRODUCT
India,COUNTRY
Japan,COUNTRY
Echo,PRODUCT
Alexa,PRODUCT
Italy,COUNTRY
Mexico,COUNTRY
Spain,COUNTRY
this year,DATE
Australia,PERSON
Netherlands,CARDINAL
Dave Fildes,PERSON
Dave,PERSON
tens of millions,CARDINAL
Amazon Music,PRODUCT
Amazon Music,PRODUCT
more than 30,CARDINAL
tens of millions,CARDINAL
Amazon Music,PRODUCT
Alexa,PRODUCT
Alexa,PRODUCT
Amazon,ORG
"more than 45,000",CARDINAL
Youssef Squali,PERSON
Robinson,NORP
Youssef Squali,PERSON
Robinson,PERSON
45,CARDINAL
1P.,CARDINAL
3P,CARDINAL
two,CARDINAL
two,CARDINAL
last 12 months,DATE
two,CARDINAL
Dave Fildes,PERSON
Youssef this,PERSON
Dave,PERSON
45,CARDINAL
first,ORDINAL
3P,CARDINAL
three,CARDINAL
Washington,GPE
January 1,DATE
Pennsylvania,GPE
April 1,DATE
July 1,DATE
second,ORDINAL
early days,DATE
Jason Helfstein,PERSON
Oppenheimer & Company,ORG
Jason Helfstein,PERSON
Oppenheimer,ORG
Alexa,PRODUCT
third,ORDINAL
Amazon,ORG
Prime Video,PRODUCT
Brian,PERSON
Alexa,PRODUCT
Alexa,PRODUCT
Dave,PERSON
"over 45,000",CARDINAL
"over 13,000",CARDINAL
"2,500",CARDINAL
Alexa,PRODUCT
Jeff,PERSON
Alexa,PRODUCT
the past year,DATE
Polk,DISEASE
Acer,GPE
Hewlett,PERSON
Lenovo,ORG
Alexa,PRODUCT
Alexa,PRODUCT
Alexa,PRODUCT
Dave Fildes,PERSON
second,ORDINAL
today,DATE
the last few quarters,DATE
Dave Fildes,PERSON
today,DATE
the end of the quarter,DATE
Amazon,ORG
next quarter,DATE
